fa,la
Rosario Menéndez, Antoni Torres
DuyKhanh P. Ceppa, Mark F. Berry
Stéphane Zuily, D. Wahl
D. Lopez-Carmona, Ricardo Gómez-Huelgas
Hugo A. P. Santana, Herbert Gustavo Simões
Loren E. Glover, Cesar V. Borlongan
John W. Eikelboom, Jeffrey I. Weitz
Emma J. Birks, Asghar Khaghani
Jue Zhang, Fen Wang
Nikolaos G Baikoussis, Dimitrios Dougenis
Robert A. Kloner, W. Kenneth Poole
Ashok J. Shah, Sébastien Knecht
Hibo Noureddine, Serge Adnot
Mohammed Al Ghobain, Mohamed S Al-Hajjaj
Rossella Fattori, Marco Di Eusanio
Nicholas T. Tarmey, Adrian Mellor
Johanna M.U. Silvola, Juhani Knuuti
Benjamin S. Wessler, James E. Udelson
Neal S. Kleiman,Neal S. Kleiman
Xiao Wang, Shao-Ping Nie
Eric Y. Yang, Vijay Nambi
Gabriel Coll de Tuero, Ampaap Investigators
William C. Jennings, Carmen Ruiz
Sergio Raposeiras-Roubín, José Ramón González-Juanatey
Hsin-Yu Tsai, Clayton Chi-Chang Chen
Petronella G. Pieper, Elke S. Hoendermis
Miguel Fernandez-Tenorio, Juan Ureña
Bernd A. Leidel, Karl-Georg Kanz
Mihoko Kawabata, Mitsuaki Isobe
Nurkay Katrancioglu, Öcal Berkan
Torsten Toftegaard Nielsen, Hans Erik Bøtker
S. Wäst, M. Hersberger
Fernando H. Y. Cesena, Protásio Lemos da Luz
Armin Ernst, Sidhu P. Gangadharan
Masato Kanazawa, Takayoshi Shimohata
Roman Gokhman, Sandra L. Kane-Gill
Ji-Eun Lee, Sei Won Lee
Benjamin H. Maskrey, Adriano G. Rossi
John M. Flack, Samar A. Nasser
Peter A. Noseworthy, Aaron L. Baggish
Gustavo Saposnik, Peter C. Austin
Kasper Adelborg, Bo Løfgren
Afshin Borhani Haghighi, Amer Alshekhlee
Yuli Y. Kim, Oscar J. Benavidez
Paolo Manunta, Giuseppe Bianchi
J Digby, Robin P. Choudhury
Pieter J. Vlaar, Bart J.G.L. de Smet
John E. Madias,John E. Madias
Usman Baber, George Dangas
Glenn N. Levine, Clyde W. Yancy
Marwan M. Refaat, Marc A. Simon
Kazumi Kimura, Takashi Inoue
Ahmed M. Osman, H. Georg Kuhn
Claudia Herrera Siklody, Dietmar Trenk
Eric Greenwald, Jeffrey J. Saucerman
Chima D. Ndumele, Leroi S. Hicks
Brian S. Goldstein, R. Mark Grady
Pamela J. McCabe, Susan Barnason
Benoit Daneault, Martin B. Leon
Tsuneaki Kawashima, Tetsuo Shioi
Hisatomi Arima, John Chalmers
Zbigniew Siudak, Dariusz Dudek
Matthew R. Summers, Abhiram Prasad
Lei Zhang, Zaiping Jing
Jean Dallongeville, Gilles Montalescot
Stephen G Oxberry, Miriam J. Johnson
Fabrice Michel, Michel Panuel
Jens Minnerup, Rainer Dziewas
Ingrid Wagner, Jürgen Bardutzky
Nathan Mewton, Joao A.C. Lima
Giovanni B. Forleo, Francesco Romeo
Suzan Willemsen, Adriaan A. Voors
Alexander G. Logan,Alexander G. Logan
Dina M. Sparano, R. Parker Ward
Stephen L. Belmonte, Burns C. Blaxall
Margaret M. McCarthy, Deborah Chyun
Benjamin Z. Galper, Lee Goldman
Duane Allen, Paco S. Herson
Olivier Contal, Jean-Paul Janssens
Xiaojun Liu, Chunxiang Zhang
Anke J. Tijsen, Esther E. Creemers
Sharmini Selvarajah, Michiel L. Bots
Mathieu Vergnat, Robert C. Gorman
Yuki Nakayama, Kennji Yamazaki
Sanket S. Dhruva, Rita F. Redberg
Jae-Jung Kim, Jong-Keuk Lee
Candida L. Desjardins, Julian E. Stelzer
Omer Berenfeld, José Jalife
Erik Willems, Mark Mercola
Diederik W. D. Kuster, Dirk J. Duncker
Eugenio Picano, Eliseo Vano
Luc Pellerin, Pierre J. Magistretti
Peter Damman, Robbert J. de Winter
Timothy J. England, Philip M.W. Bath
Jay N. Cohn,Jay N. Cohn
Gabor Z. Duray, Stefan H. Hohnloser
Thomas J. DeGraba, Anthony F. Suffredini
Marc S. Sabatine,Marc S. Sabatine
Vera Maria Cury Salemi, Charles Mady
Ling Yan, Hongliang Li
Gustavo G Blume, Teresa S.M. Tsang
Peng Sheng Chen, Tomohiko Ai
Werner Jung, Sebastian Jäckle
Pierluigi Tricoci, Robert A. Harrington
Vincent F.M. Segers, Anthony Sandrasagra
Tadahisa Sugiura, Shigeo Takebayashi
Vivencio Barrios,Vivencio Barrios
Susanne Rautiainen, Alicja Wolk
Yoshio Iwashima, Hiromi Rakugi
Malin Malmsjö, Richard Ingemansson
Mohammad I. Zia, Dennis T. Ko
Raja J. Selvaraj, Jayaraman Balachander
Sanjiv M. Narayan, David E. Krummen
Sing-Chien Yap, Vijay S. Chauhan
José Luis Zamorano, Linda D. Gillam
Joseph Shalhoub, Alun H. Davies
Sandra Lindstedt, Malin Malmsjö
Kate Hardaker, Cheryl M. Salome
Nicolo Piazza, Rüdiger Lange
Thomas Vanassche, Peter Verhamme
Aaron J. Weiss, Gabriele Di Luozzo
Niko Sillanpää, Seppo Soimakallio
Rui Feng, Zaiping Jing
Michael Howe, Elizabeth A. Jackson
Alberto Bandini, Marcello Galvani
Rodrigo Antonini Ribeiro, Carisi Anne Polanczyk
Yong Wang, Qing Zhao
Einar E. Eriksson,Einar E. Eriksson
Sotiris C. Stamou, Frank W. Sellke
Andreas Kühn, Manfred Vogt
Vasilios G. Athyros, Asterios Karagiannis
Lutz Buellesfeld, Eberhard Grube
Tobias Raupach, Andrew L. Pipe
Nima Etminan, Daniel Hänggi
N.A. Mark Estes, Jonathan Weinstock
Koon K. Teo, Kwan L. Chan
Babak Sarani, William D. Schweickert
Michael Markl, Tino Ebbers
David S. Kauvar, Larry W. Kraiss
Soo-Jin Kang, Seung-Jung Park
Stefan K. Nilsson, Martin Merkel
Savvas Toumanides, Spyridon D. Moulopoulos
Shin Iwamoto, Tatsuya Sawamura
Georges Leftheriotis, Ludovic Martin
Rafael A. Couto, Arin K. Greene
Angel Moya, Xavier Navarro
Pieter C. Smits, Eugene P. McFadden
Fernando Alfonso, Cristina Fernández
Matthias Greutmann, Erwin Oechslin
Chang Seong Kim, Soo Wan Kim
,
Lisa Shaw, Helen Rodgers
Pramod Reddy Kandakure, Samba Murthy Kona
Christopher L. Carroll, Robert Englander
Mourad Chenoune, Renaud Tissier
Jae Yeong Cho, Seung-Jung Park
Christopher N. Schmickl, Ognjen Gajic
Rosa Suñer-Soler, Joaquín Serena
Susanne Abderhalden, Thomas Pfammatter
Shay Shemesh, Dror Harats
Paloma Gastelurrutia, Antoni Bayes-Genis
Gregory E. Supple, Francis E. Marchlinski
Uwe Zeymer, Kurt Huber
Lian-Yu Lin, Jiunn Lee Lin
Raffaella Lombardi, Ali J. Marian
Chengzong Han, Bin He
Kei Nakajima, Hiromi Munakata
Mohammad Hossein Mandegar, Farideh Roshanali
Kwok M. Ho, David Pilcher
Hector M. Garcia-Garcia, Patrick W. Serruys
Marc S. Penn, Warren Sherman
Carmen P. Escalante, Ali Zalpour
Jianjun Gao, Xian-Jun Qu
Hyeon Yu,Hyeon Yu
Marian K. Rippy, Christopher K. Zarins
Mohammad Ali, Carl J. Vaughan
Chetan Shenoy, Martin S. Maron
Gianfranco Butera, Mario Carminati
John P. Fischer, Suhail K. Kanchwala
Christian Spaulding, Patrick Henry
Lars Lind, Johan Sundström
Genovefa Kolovou, Dimitri P. Mikhailidis
Elsayed Z. Soliman, Gregory L. Burke
Abdallah Kamouh, Gary S. Francis
Roma Schmitz, Hannelore Neuhauser
Yusuke Hosokawa, Kyoichi Mizuno
Jianghai Liu, Lingyun Wu
Osami Honjo, Glen S. Van Arsdell
Christoph J. Binder, Joseph L. Witztum
Christina M. Vassileva, Stephen R. Hazelrigg
Edward P. Weiss, Luigi Fontana
Omair Yousuf, Deepak L. Bhatt
Noel C. F. Codella, Jonathan W. Weinsaft
Vivian I. Teichberg,Vivian I. Teichberg
Claudia Bruedigam, Johannes P.T.M. van Leeuwen
Ryota Ebata, Yoichi Kohno
Hanna B. Slim, Gary V. Heller
Thomas G. Brott, Allen J. Taylor
Ayesha C. Qureshi, Akhil Kapur
Masaki Moriyama, Hiroyuki Tonami
Qiang Yang, Ling Tao
Norimichi Koitabashi, David A. Kass
Mounia Boulberdaa, Canan G. Nebigil
Esad Vucic, Zahi A. Fayad
Keiko Yonekawa, Willibald Maier
Hurst M. Hall, Darren K. McGuire
Gillian A. Whalley, Robert N. Doughty
Sietse Jan Koopmans, Wim J. van der Giessen
Simon L. Bacon, Alain Vadeboncoeur
Martin B. Rook, Marti F.A. Bierhuizen
William C. Culp, Paula K. Roberson
Luis Manzano, Marcus Flather
Venkata R Dodda, Peter Spiro
Andrea Papp, Anselm K. Gitt
Cristina Contreras, Dolores Prieto
Oliver Monfredi, Vaikom S. Mahadevan
Jes S. Lindholt, Helge Fasting
Jinfeng Xiao, Hongliang Li
Joanna M. Wardlaw,Joanna M. Wardlaw
Suk Jae Kim, Kwang-Ho Lee
Stephan Achenbach,Stephan Achenbach
El-Sayed H. Ibrahim,El-Sayed H. Ibrahim
W.H. Wilson Tang, Allan L. Klein
Kent L. Christopher, Michael D. Schwartz
Erwin Oechslin, Rolf Jenni
Jang Young Kim, Junghan Yoon
Giuseppe Pugliese, Giuseppe Penno
Celal Akdeniz, Ahmet Çelebi
A. Simioniuc, Fabio A. Recchia
Ping-Lun Hsieh, Wan-Ju Chao
Adam C. Salisbury, John A. Spertus
Manuel A. Gonzalez, Ron Waksman
Hyun Koo Kim, Young Ho Choi
Seung-Whan Lee, Seung-Jung Park
Bronwyn Everett, Patricia M. Davidson
Yazan Duwayri, Robert W. Thompson
Xinji Zhang, Jia He
K.J. Lu, Piyush M Srivastava
Viviana Casagrande, Massimo Federici
Behzad Soleimani, Walter E. Pae
Burke A. Cunha,Burke A. Cunha
Amytis Towfighi, Jeffrey L. Saver
Svetlana Reilly, Barbara Casadei
Anita A. Kelkar, William H. Frishman
Liam S. Hirt,Liam S. Hirt
Sebastian Kufner, Adnan Kastrati
Jacinta I. Reddigan, Jennifer L. Kuk
Ian B. Copland,Ian B. Copland
Sébastien P.J. Krul, Joris R. de Groot
Andrew L. Clark,Andrew L. Clark
Brian R. Weil, Brian L. Stauffer
Lenard Conradi, Hermann Reichenspurner
Zhenyu Qin,Zhenyu Qin
Sang Min Kim, Sang Hoon Lee
Fuyou Guo, Guohua Xi
Peter P. Toth,Peter P. Toth
Grazia Ammirabile, Marina Campione
Peter S. Sever, Franz H. Messerli
Tejas Patel, Samir Pancholy
Heemun Kwok, Roger J. Lewis
Michiel Rienstra, Emelia J. Benjamin
Thomas F. Whayne,Thomas F. Whayne
Momen M. Wahidi, Gerard A. Silvestri
Drew E. Glaser, Kara E. McCloskey
Sigall K. Bell, Thomas H. Gallagher
Na Wang, Chenghui Yan
Antonio D. Lassaletta, Frank W. Sellke
Roy C. Ziegelstein,Roy C. Ziegelstein
Russell H. Samson, Deepak G. Nair
Daniela Tormene, Paolo Simioni
Joanne Shannon, Antonio Colombo
Matthew B. Veldman, Shuo Lin
Sang-Ho Jo,Sang-Ho Jo
Giuseppe Mancia, Giorgio Zanchin
Andreas Beckmann, Alexander Wahba
Vera Regitz-Zagrosek, Carole A. Warnes
Robert B. Metter, Clifton W. Callaway
Giampaolo Niccoli, Filippo Crea
Vivian Tsai, Paul A. Heidenreich
Kirsten N. Kangelaris, Michael A. Matthay
Preetika Muthukrishnan, Monica Colvin-Adams
Salvador Cruz-Flores, Amy L. Valderrama
Lei Tian, Steven C. George
Jason R Becker, Calum A. MacRae
Zaza Iakobishvili, David Hasdai
Julie Munkholm, Claus B. Andersen
Mark A. Creager, Jack A. Ziffer
Yoshihisa Shimada, Kanji Nagai
Daniel B. Kramer, Peter Zimetbaum
Zachary M. Arthurs, Daniel G. Clair
Andy Menke, Eliseo Guallar
Karl Werdan, Henning Ebelt
Daniele Torella, Ciro Indolfi
Inder S. Anand, Rodolphe Katra
Nikolaos Dagres, Maria Anastasiou-Nana
Antonio Eduardo Pereira Pesaro, Jose C. Nicolau
Erik O. Udo, Karel G.M. Moons
Peter M. Engelfriet, Pieter van Baal
Guilherme Veiga Guimarães, Edimar Alcides Bocchi
Renske G. Wieberdink, M. Arfan Ikram
Malin Levin, Jan Borén
Caroline Cheng, Henricus J. Duckers
Lian Zuo, R. W. Alexander
Zulu Wang, Xunzhang Wang
Ronny S. Jiji, Christopher M. Kramer
Sundararajan Srikanth, Prakash Deedwania
James K. Liao,James K. Liao
Balu Bhaskar, Dan Mullaney
Keith E Swanson, Rolf Paulson
Chih-Hao Chen, Tzu-Ti Hung
Takayuki Mitsuhashi, Kazuo Kimura
Daniel P. Judge, Kathryn R. Wagner
M Asaad, C Holloway
Ties A. Mulders, S.J. Pinto-Sietsma
Josep Brugada,Josep Brugada
David Schibilsky, Christian Schlensak
Fang Jia, Guoping Lu
Stella Aslibekyan, Ana Baylin
Rajinder Singh Rawat, Anil Bhan
Jia-Yi Dong, Li-Qiang Qin
Srihari S. Naidu,Srihari S. Naidu
Peter A. McCullough, Ayad Jazrawi
Giuseppe Bruschi, Silvio Klugmann
Belinda A. Di Bartolo, Christina A. Bursill
Ties A. Mulders, Sara-Joan Pinto-Sietsma
Michael H. Davidson,Michael H. Davidson
Tzu-Ching Wu, Sean I Savitz
Sanjay Sharma, Abbas Zaidi
Justin T. Saunders, Christie M. Ballantyne
Kyriakos Anastasiadis, Stephen Westaby
Fredrik J. Olson, Göran Bergström
Ming Yu, Simon P. Robinson
Eric Berreklouw, Friedrich W. Mohr
Po-Ming Ku, Juei-Tang Cheng
Saurabh S. Dhawan, Habib Samady
Luna Gargani,Luna Gargani
Peter Whittaker, Karin Przyklenk
Andrew C. Fiore, Kenneth O. Schowengerdt
Johannes B. van Rees, Martin J. Schalij
Padmini Sirish, Nipavan Chiamvimonvat
Robert P. Nolan, Maggie H Chen
Shlomo Stern,Shlomo Stern
William C. Culp, Michael J. Borrelli
Ángel López-Cuenca, Francisco Marín
Wanjun Luo, Yangde Zhang
Waseem Hajjar, Alaqeed An
Donna Rudd, Geoffrey P. Dobson
Jagdish Butany, Vidhya Nair
Adrian Baranchuk, Kevin A. Michael
Adriaan A. Voors, Iwan C. C. van der Horst
Eric P. Brass, William R. Hiatt
Miyuki Tsuchihashi-Makaya, Hiroyuki Tsutsui
Go Watanabe, Noriyoshi Yashiki
Jennifer Taylor,Jennifer Taylor
Katsuhiko Shimizu, Masao Nakata
Manish R. Mohanka, James K. Stoller
Alexander C. Flint, S. Claiborne Johnston
Chi Wai Chan, Vivian W Y Lee
Zhaolu Wang, Olle Lindvall
D. Ian Paterson, Rob S. Beanlands
Michael S. Kiernan, Navin K. Kapur
Peter Donndorf, Aenne Glass
Brent M. Egan, Keith C. Ferdinand
Sabee Molloi, Jerry T. Wong
Kenneth M. Fifer, Ahmed Tawakol
Kayo Ueda, Hirotsugu Ueshima
Fabiana Andrade Machado, Benedito Sérgio Denadai
Walter Dorigo, Carlo Pratesi
Thomas F. Whayne,Thomas F. Whayne
William E. Louch, Beata M. Wolska
Maxim Hardziyenka, Hanno L. Tan
A. Anjum, Janet T. Powell
Adel H. Allam, Gregory S. Thomas
Michael S. Phipps, Dawn M. Bravata
Ge Gao, Samuel C. Dudley
Leonarda Galiuto, Filippo Crea
Nikolaos Dagres, Maria Anastasiou-Nana
Pasquale Santangeli, Andrea Natale
Josef Finsterer, Claudia Stöllberger
Lauren G. Koch, Ulrik Wisløff
Douglas L. Mann,Douglas L. Mann
Rajeev Pathak Misra, Charles A. Dietl
Wendy Tsang, Roberto M. Lang
Carla R. P. Oliveira, José Augusto Barreto-Filho
Castigliano M. Bhamidipati, Gorav Ailawadi
Ralph Rahme, Opeolu Adeoye
Jo-Anne Gilbert, Arne Astrup
John F. Carlquist, Lisa Cannon- Albright
Fadi Mansour, Paul Khairy
Masahiro Kamouchi, Takanari Kitazono
Sewon Lee, Cuihua Zhang
Andre La Gerche, David L. Prior
Sam Parnia,Sam Parnia
Mario Petretta, Domenico Bonaduce
Daniel A. Tolpin, Wei Pan
Justo Rafael Sadaba, Stefano Urso
Peter Kokkinos, Ross D. Fletcher
Sophie Mavrogeni, Menelaos N. Manoussakis
Anne E. Steckler, Inder S. Anand
Sylvia Abadir, Paul Khairy
Xiang-Yu Tang, Zhang Lin
Christoph A. Schmitt,Christoph A. Schmitt
Elaine M. Urbina, Lawrence M. Dolan
Mattias Ringh, Jacob Hollenberg
Joseph G. Rogers, Mark S. Slaughter
Donald G Pittman, JoAnne M. Foody
Cristina Basso, Gaetano Thiene
Sanjay Gandhi, Michael R. Jaff
John J. Sim, Kamyar Kalantar-Zadeh
Kimberly G. Harmon, Jonathan A. Drezner
Jae Hyoung Kim, SangYun Kim
James L. Januzzi,James L. Januzzi
Steinarr Björnsson, Stefan Acosta
Jessica M. Scott, Lee W. Jones
Stéphane Loyau, Martine Jandrot-Perrus
Giulio Illuminati, Michele Toscano
Thomas Kümler, Christian Torp-Pedersen
Sajjad Muhammad, Markus Schwaninger
Bo Jiang, Chang-fu Liu
Carol Moreno, Richard J. Roman
Aya Takemura, Yasuyoshi Ouchi
Larry A. Allen, John A. Spertus
Emiel F.M. Wouters, Martijn A. Spruit
Peter Franks, Kevin Fiscella
Yan Topilsky, Thomas G. Allison
Navid Madershahian, Thorsten Wahlers
Robert T. Stevenson, Jeffrey L. Williams
Luisa De Gennaro, Natale Daniele Brunetti
Ronan Margey, Michael R. Jaff
Laura Hyttinen, Tatu A. Miettinen
John R. Cockcroft, Michala E. Pedersen
Emile G. Daoud, Paul D. Ziegler
Claudia Jentzsch, Stefan Engelhardt
Niteesh K. Choudhry, Jerry Avorn
William T. Kuo,William T. Kuo
Ingrid Hopper, Henry Krum
David S. Blondheim, Noah Liel-Cohen
Hiromitsu Kanamori, Shinya Minatoguchi
Stuart J. Head, A. Pieter Kappetein
Gabriele Di Comite, Alberto Morganti
Michela Casella, Claudio Tondo
Christopher Droogan, Peter R. Kowey
Jayashree Shanker, Vijay V. Kakkar
Marianne Brodmann, Ernst Pilger
Junichi Sadoshima, Joshua M. Hare
Rajarajan Amirthalingam Thandavarayan, Tetsuya Konishi
Casper Eurlings, Stephane Heymans
Maciej L. Dryjski,Maciej L. Dryjski
Panagiotis Apostolou, Gregory Giamouzis
Lorenzo Ramón Álvarez, Manuel Monreal
Sébastien Marchandise, Nadia Debbas
Jonatan R. Ruiz, Alejandro Lucia
 Garelnabi, Sampath Parthasarathy
Giovanni Mosti, Hugo Partsch
Evan Adelstein, Samir Saba
William J. Kostis, Igor F. Palacios
Y. Joseph Woo, John W. MacArthur
Grigorios Tsigkas, Dimitrios Alexopoulos
Arnold C.T. Ng, Hildo J. Lamb
Heng Zhang,Heng Zhang
Junko Hotchi, Toshiaki Hanafusa
Günter Siegel, Eugeny A. Ermilov
Jesús López-Herce, Martha Matamoros
Congli Zhu, Julie H. Campbell
Piyush Jain, Avijit Lahiri
Kaizheng Gong, Dongqi Xing
Orly Vardeny, Scott D. Solomon
Alan E. Jones,Alan E. Jones
Claire L. Curl, Lea M.D. Delbridge
James E. Udelson, Judith S. Hochman
Eugênia da Silva Lima, Erenaldo de Souza Rodrigues-Junior
Selma O. Algra, Felix Haas
Francesco Prati, Andrew M. Rollins
Ian Janssen, Susan A. Everson-Rose
Takashi Eguchi, Kazuo Yoshida
Marc Bosiers, Lewis B. Schwartz
Hidekazu Tanaka, Ken-ichi Hirata
Roberto Aquilani, Manuela Verri
Guillaume Jondeau, Catherine Boileau
Päivi Korhonen, Ilkka Kantola
M. Adnan Nadir, Allan D. Struthers
,
Nicolas Derval, Andrew D. Krahn
Ashu Bhasin, Balram Airan
Charles D. Swerdlow, Kenneth A. Ellenbogen
Dong Sun, Rong Yu
Giovanni Sartore, Annunziata Lapolla
Simon Stewart, Garry L. Jennings
Paul W X Foley, Francisco Leyva
Marjan Mujib, Ali Ahmed
Johann Strumpher, Eric Jacobsohn
Dirk Devroey, Viviane Van Casteren
Ronald Reiter, Jay H. Traverse
Samuele Baldasseroni, Aldo P. Maggioni
Cecile T.J. Holweg, Edward S. Mocarski
Sandra B. Ramos, Sonya Marshall-Gradisnik
Karin Janata, Kurt Huber
Nicolo Piazza, Rüdiger Lange
Lasse Jespersen, Eva Prescott
Adriana Laser, Gilbert R. Upchurch
Benoit J. Arsenault, John J.P. Kastelein
Edward T.D. Hoey, Richard Watkin
Ronald P. Caputo, Tejas Patel
David J. Goldberg, Jack Rychik
Anusha Jegatheeswaran, Mark K. Friedberg
Avtandil Babunashvili, David Dundua
Theodore E. Warkentin, John G. Kelton
Sanjit S. Jolly, Shamir R. Mehta
Jonathan D. Moreno, Colleen E. Clancy
Suzanne Kosmider, Peter Gibbs
Philip W. Carrott, Donald E. Low
Saloua El Messaoudi, Niels P. Riksen
Krishna G. Aragam, Kim A. Eagle
Stuart Samuel, Terry A. Jacobson
S. L. Thio, P. Giral
Tharsi Sarvananthan, Alun H. Davies
Takahiro Nakajima, Ichiro Yoshino
Karl H. Schuleri, Albert C. Lardo
Jordan D. Miller, Donald D. Heistad
David C. Poole, Timothy I. Musch
Man-Huei Chang, Nicole F. Dowling
Steven P. Kennedy, Angela C. Paniagua
Henriette Brinks, Patrick Most
Prashant N. Mohite, Andre R. Simon
Paolo Palatini, Guido Grassi
Niels Engberding, Nanette K. Wenger
Daniela Poli, G. Palareti
Susanna H. Shin, Luke Marone
Michael J Daly, Jennifer Adgey
Yuan Yan Sin, George S. Baillie
Sean R. Regner, David A. Lynch
M.D. Tam, Weiping Wang
Fang Wang, Brian Rodrigues
Karl Georg Haeusler, Matthias Endres
Zi-Jiang Zhu, Ying-Tai Chen
Bence Gunda, Hugues Chabriat
Jan-Christian Reil, Hans-Ruprecht Neuberger
Evrim B. Turkbey, David A. Bluemke
Fabrizio D'Ascenzo, Fiorenzo Gaita
Arun Nagdev, Michael B. Stone
Theophilus Owan, Sheldon E. Litwin
Surya M. Nauli, Beerend P. Hierck
Lawrence J. Appel, Linda Van Horn
Gilbert J. Zoghbi, Ami E. Iskandrian
Elise Camilleri, Laurent Bonello
Thomas Eschenhagen, Ajay M. Shah
Ragesh Panikkath, Sumeet S. Chugh
Garrett Newton Andersen, Håvard Dalen
C.O. Santos, M. Luísa Figueira
Nima Badie, Nenad Bursac
David G. Rabkin, Gabriel S. Aldea
Habiba Ben Romdhane, Noureddine Achour
Ariane Marelli, Michelle Gurvitz
Tabassum Nafsi, Rajive Tandon
Petros Nihoyannopoulos, Jean-Louis Vanoverschelde
Rikke Sørensen, Christian Torp-Pedersen
Tejs Ehlers Klug, Therese Ovesen
Vassilios G. Athyros, Dimitri P. Mikhailidis
Giacomo Levantesi, Roberto Marchioli
Michael C. Peterson, Richmond Doxey
Eduardo B. Saad, Carisi Anne Polanczyk
André Michael Toschke, Peter U. Heuschmann
Renicus S Hermanides, Arnoud W J van 't Hof
Natalia Yakubovich, Hertzel C. Gerstein
Pierre Pagé,Pierre Pagé
Ganapathi I. Parameswaran, Timothy F. Murphy
Paula Gonçalves Macedo, Denise Hachul
Jean-Claude Deharo, Bruce L. Wilkoff
F.E.S.C. Hans Kottkamp, Nikolaos Dagres
Mark Wilson, Christopher H.E. Imray
Elisavet Moutzouri, Evangelos N Liberopoulos
Christoph P. Hornik, Sara K. Pasquali
Geert E. Leenders, Frits W. Prinzen
Enzo R. Porrello, Eric N. Olson
Domenic A. Sica, L. Lee Hamm
Sharon Sables-Baus, Eduardo da Cruz
Riad Efendiev, Carmen W. Dessauer
Norishige Morita, Hrayr S. Karagueuzian
Christoph Schimmer, Rainer Leyh
Dalane W Kitzman, Leanne Groban
Salam Abou Taam, Jean-Baptiste Ricco
Øystein Tømte, Kjetil Sunde
Bartlomiej Zych, Karen C. Redmond
Antonio Russo, Claudio Tondo
Cuk-Seong Kim, Kaikobad Irani
Marta Kalousová, Tomáš Zima
Vasim Farooq, Patrick W. Serruys
Jan Breckwoldt, Hans-Christian Mochmann
Danielle Campbell, Deborah Frew
Arlene Tran, Angela Cheng-Lai
Jin Young Min, Kyoung-Bok Min
Shinichi Takatsuki, D. Dunbar Ivy
P Calmarza, P Lopez
Fred M. Wu, Michael G. Earing
Nesan Shanmugam, Stefan Sack
Jean-Paul P.M. de Vries, Jan Albert Vos
Kenneth R. Thomson, Andrew Haydon
Christopher J. O'Donnell, Jacqueline C.M. Witteman
Kangmin He, Youyi Zhang
Esa Joutsiniemi, Juhani Knuuti
Fiona C. McGillicuddy, Daniel J. Rader
Raymond C.S. Seet, Barry Halliwell
Cinzia Tosoni, Fabio Lodi Rizzini
S K Khambekar, S Corbett
Raul D. Santos,Raul D. Santos
Melina Gattellari, John M. Worthington
Joachim H. Ix, Gail A. Laughlin
Ellen Bøhmer, Sigrun Halvorsen
Patric Karlström, Ulf Dahlström
John G.F. Cleland, Stefano Ghio
Sigmund Silber, Robbert J. de Winter
Han-Na Kim, James L. Januzzi
Sherif F. Nagueh, Jerry D. Estep
Unab I. Khan, Rachel P. Wildman
Luciano Matos Chicayban, Fernando Silva Guimarães
Tim Lockie, Sven Plein
Gerold Mönnig, Lars Eckardt
Bertrand Cariou, Philippe Costet
Mervyn D.I. Vergouwen, R. Loch Macdonald
Francesco Giallauria, Carlo Vigorito
Victoria L. Vetter, Ramesh Iyer
Ileana L. Piña,Ileana L. Piña
Reema Hasan, Christian Machado
Dan Rusinaru, Maurice Enriquez-Sarano
Marcel J.H. Aries, Patrick C.A.J. Vroomen
Sony Jacob, Rajeev Aravindhakshan
Alessandro Politi, null De Servi S
